,Year,First,Second
0,1969,New York Knicks,San Francisco Warriors
1,1969,San Francisco Warriors,Boston Celtics
2,1969,Boston Celtics,Boston Celtics
3,1969,New York Knicks,Los Angeles Lakers
4,1969,Chicago Bulls,Atlanta Hawks
5,1970,New York Knicks,Boston Celtics
6,1970,Baltimore Bullets,Atlanta Hawks
7,1970,New York Knicks,Milwaukee Bucks
8,1970,New York Knicks,Atlanta Hawks
9,1970,Los Angeles Lakers,Chicago Bulls
10,1971,New York Knicks,Boston Celtics
11,1971,Baltimore Bullets,Phoenix Suns
12,1971,San Francisco Warriors,Milwaukee Bucks
13,1971,New York Knicks,Chicago Bulls
14,1971,Los Angeles Lakers,Cincinnati Royals
15,1972,New York Knicks,Phoenix Suns
16,1972,Boston Celtics,Chicago Bulls
17,1972,Los Angeles Lakers,Golden State Warriors
18,1972,Los Angeles Lakers,Chicago Bulls
19,1972,New York Knicks,Boston Celtics
20,1972,Chicago Bulls,
21,1973,New York Knicks,Phoenix Suns
22,1973,Boston Celtics,Baltimore Bullets
23,1973,Los Angeles Lakers,Golden State Warriors
24,1973,Los Angeles Lakers,Chicago Bulls
25,1973,New York Knicks,Boston Celtics
26,1974,New York Knicks,Capital Bullets
27,1974,Boston Celtics,Chicago Bulls
28,1974,Milwaukee Bucks,Golden State Warriors
29,1974,Chicago Bulls,Boston Celtics
30,1974,New York Knicks,Phoenix Suns
31,1974,Chicago Bulls,Los Angeles Lakers
32,1975,Boston Celtics,Washington Bullets
33,1975,Boston Celtics,Chicago Bulls
34,1975,Milwaukee Bucks,Boston Celtics
35,1975,Chicago Bulls,Chicago Bulls
36,1975,New York Knicks,Boston Celtics
37,1976,Boston Celtics,Cleveland Cavaliers
38,1976,Boston Celtics,Golden State Warriors
39,1976,Boston Celtics,Los Angeles Lakers
40,1976,Chicago Bulls,Cleveland Cavaliers
41,1976,Seattle SuperSonics,Golden State Warriors
42,1977,Denver Nuggets,Cleveland Cavaliers
43,1977,New Orleans Jazz,Golden State Warriors
44,1977,Portland Trail Blazers,Los Angeles Lakers
