,First,Second,Third,Year
0,Philadelphia Warriors,Providence Steamrollers,,1947
1,Washington Capitols,Cleveland Rebels,,1947
2,Detroit Falcons,St. Louis Bombers,,1947
3,Washington Capitols,Chicago Stags,,1947
4,Chicago Stags,Washington Capitols,,1947
5,Philadelphia Warriors,St. Louis Bombers,,1948
6,Chicago Stags,New York Knicks,,1948
7,Boston Celtics,Chicago Stags,,1948
8,Philadelphia Warriors,Washington Capitols,,1948
9,Washington Capitols,Baltimore Bullets,,1948
10,Minneapolis Lakers,Rochester Royals,,1949
11,Philadelphia Warriors,Washington Capitols,,1949
12,Rochester Royals,Washington Capitols,,1949
13,Chicago Stags,Providence Steamrollers,,1949
14,Minneapolis Lakers,St. Louis Bombers,,1949
15,Minneapolis Lakers,Anderson Packers,,1950
16,Minneapolis Lakers,Fort Wayne Pistons,,1950
17,Indianapolis Olympians,Syracuse Nationals,,1950
18,Rochester Royals,Syracuse Nationals,,1950
19,Chicago Stags,Indianapolis Olympians,,1950
20,Minneapolis Lakers,Syracuse Nationals,,1951
21,Indianapolis Olympians,Tri-Cities Blackhawks,,1951
22,Boston Celtics,Minneapolis Lakers,,1951
23,Rochester Royals,Philadelphia Warriors,,1951
24,Indianapolis Olympians,New York Knicks,,1951
25,Minneapolis Lakers,Fort Wayne Pistons,,1952
26,Boston Celtics,Minneapolis Lakers,,1952
27,Philadelphia Warriors,Minneapolis Lakers,,1952
28,Boston Celtics,Rochester Royals,,1952
29,Rochester Royals,Philadelphia Warriors,,1952
30,Syracuse Nationals,,,1952
31,Minneapolis Lakers,Boston Celtics,,1953
32,Boston Celtics,Minneapolis Lakers,,1953
33,Philadelphia Warriors,Rochester Royals,,1953
34,Boston Celtics,Rochester Royals,,1953
35,Syracuse Nationals,Philadelphia Warriors,,1953
36,Boston Celtics,Boston Celtics,,1954
37,Philadelphia Warriors,Minneapolis Lakers,,1954
38,Minneapolis Lakers,New York Knicks,,1954
39,Syracuse Nationals,Rochester Royals,,1954
40,New York Knicks,Syracuse Nationals,,1954
41,Philadelphia Warriors,Minneapolis Lakers,,1955
42,Boston Celtics,New York Knicks,,1955
43,Syracuse Nationals,Syracuse Nationals,,1955
44,Milwaukee Hawks,Minneapolis Lakers,,1955
45,Fort Wayne Pistons,Boston Celtics,,1955
0,St. Louis Hawks,Syracuse Nationals,,1956
1,Philadelphia Warriors,Rochester Royals,,1956
2,Philadelphia Warriors,Minneapolis Lakers,,1956
3,Boston Celtics,Minneapolis Lakers,,1956
4,Boston Celtics,Philadelphia Warriors,,1956
5,Philadelphia Warriors,Fort Wayne Pistons,,1957
6,Syracuse Nationals,Rochester Royals,,1957
7,St. Louis Hawks,Philadelphia Warriors,,1957
8,Boston Celtics,Minneapolis Lakers,,1957
9,Boston Celtics,St. Louis Hawks,,1957
10,Syracuse Nationals,St. Louis Hawks,,1958
11,Detroit Pistons,Cincinnati Royals,,1958
12,St. Louis Hawks,Boston Celtics,,1958
13,Boston Celtics,Philadelphia Warriors,,1958
14,Boston Celtics,St. Louis Hawks,,1958
15,St. Louis Hawks,Philadelphia Warriors,,1959
16,Minneapolis Lakers,St. Louis Hawks,,1959
17,Boston Celtics,Syracuse Nationals,,1959
18,Boston Celtics,St. Louis Hawks,,1959
19,Boston Celtics,New York Knicks,,1959
20,St. Louis Hawks,Cincinnati Royals,,1960
21,Minneapolis Lakers,Syracuse Nationals,,1960
22,Philadelphia Warriors,Boston Celtics,,1960
23,Boston Celtics,New York Knicks,,1960
24,Detroit Pistons,Boston Celtics,,1960
25,Los Angeles Lakers,Syracuse Nationals,,1961
26,St. Louis Hawks,Boston Celtics,,1961
27,Philadelphia Warriors,Boston Celtics,,1961
28,Boston Celtics,Syracuse Nationals,,1961
29,Cincinnati Royals,Detroit Pistons,,1961
30,St. Louis Hawks,Boston Celtics,,1962
31,Los Angeles Lakers,Cincinnati Royals,,1962
32,Philadelphia Warriors,Boston Celtics,,1962
33,Los Angeles Lakers,New York Knicks,,1962
34,Cincinnati Royals,Boston Celtics,,1962
35,Los Angeles Lakers,Boston Celtics,,1963
36,St. Louis Hawks,Detroit Pistons,,1963
37,Boston Celtics,San Francisco Warriors,,1963
38,Cincinnati Royals,Boston Celtics,,1963
39,Los Angeles Lakers,Syracuse Nationals,,1963
40,Los Angeles Lakers,Boston Celtics,,1964
41,St. Louis Hawks,Cincinnati Royals,,1964
42,San Francisco Warriors,Boston Celtics,,1964
43,Cincinnati Royals,Boston Celtics,,1964
44,Los Angeles Lakers,Philadelphia 76ers,,1964
45,Los Angeles Lakers,St. Louis Hawks,,1965
46,Cincinnati Royals,Baltimore Bullets,,1965
47,Boston Celtics,Philadelphia 76ers,,1965
48,Cincinnati Royals,Boston Celtics,,1965
49,Los Angeles Lakers,Philadelphia 76ers,,1965
50,San Francisco Warriors,Boston Celtics,,1966
51,Cincinnati Royals,Baltimore Bullets,,1966
52,Philadelphia 76ers,Boston Celtics,,1966
53,Cincinnati Royals,Boston Celtics,,1966
54,Los Angeles Lakers,Philadelphia 76ers,,1966
55,San Francisco Warriors,New York Knicks,,1967
56,Los Angeles Lakers,Cincinnati Royals,,1967
57,Philadelphia 76ers,Boston Celtics,,1967
58,Los Angeles Lakers,Philadelphia 76ers,,1967
59,Cincinnati Royals,Boston Celtics,,1967
60,Los Angeles Lakers,New York Knicks,,1968
61,Cincinnati Royals,Boston Celtics,,1968
62,Philadelphia 76ers,Boston Celtics,,1968
63,Detroit Pistons,Philadelphia 76ers,,1968
64,Cincinnati Royals,Los Angeles Lakers,,1968
65,Philadelphia 76ers,Boston Celtics,,1969
66,Los Angeles Lakers,New York Knicks,,1969
67,Baltimore Bullets,New York Knicks,,1969
68,Baltimore Bullets,Philadelphia 76ers,,1969
69,Cincinnati Royals,Los Angeles Lakers,,1969
70,Philadelphia 76ers,Boston Celtics,,1970
71,Phoenix Suns,Baltimore Bullets,,1970
72,New York Knicks,Milwaukee Bucks,,1970
73,Los Angeles Lakers,Atlanta Hawks,,1970
74,New York Knicks,Cincinnati Royals,,1970
75,Boston Celtics,Baltimore Bullets,,1971
76,Philadelphia 76ers,Chicago Bulls,,1971
77,Milwaukee Bucks,New York Knicks,,1971
78,Los Angeles Lakers,New York Knicks,,1971
79,Detroit Pistons,Milwaukee Bucks,,1971
80,Boston Celtics,Chicago Bulls,,1972
81,Seattle SuperSonics,Philadelphia 76ers,,1972
82,Milwaukee Bucks,Los Angeles Lakers,,1972
83,Los Angeles Lakers,Cincinnati Royals,,1972
84,New York Knicks,Baltimore Bullets,,1972
85,Boston Celtics,Baltimore Bullets,,1973
86,Seattle SuperSonics,Golden State Warriors,,1973
87,Milwaukee Bucks,Boston Celtics,,1973
88,Kansas City-Omaha Kings,New York Knicks,,1973
89,Los Angeles Lakers,Atlanta Hawks,,1973
90,Boston Celtics,Capital Bullets,,1974
91,Golden State Warriors,Seattle SuperSonics,,1974
92,Milwaukee Bucks,Buffalo Braves,,1974
93,New York Knicks,Detroit Pistons,,1974
94,Los Angeles Lakers,Chicago Bulls,,1974
95,Golden State Warriors,Boston Celtics,,1975
96,Washington Bullets,Seattle SuperSonics,,1975
97,Buffalo Braves,Boston Celtics,,1975
98,Kansas City-Omaha Kings,Washington Bullets,,1975
99,New York Knicks,Boston Celtics,,1975
100,Golden State Warriors,Washington Bullets,,1976
101,Philadelphia 76ers,Boston Celtics,,1976
102,Los Angeles Lakers,Boston Celtics,,1976
103,Kansas City Kings,Buffalo Braves,,1976
104,New Orleans Jazz,Golden State Warriors,,1976
105,Washington Bullets,Philadelphia 76ers,,1977
106,Denver Nuggets,Philadelphia 76ers,,1977
107,Los Angeles Lakers,Portland Trail Blazers,,1977
108,New Orleans Jazz,San Antonio Spurs,,1977
109,Phoenix Suns,Boston Celtics,,1977
110,New Orleans Jazz,Phoenix Suns,,1978
