,Year,Team
0,2019,LAL
1,2019,HOU
2,2019,GSW
3,2019,BOS
4,2019,TOR
5,2019,POR
6,2019,GSW
7,2019,WAS
8,2019,PHI
9,2019,MIN
10,2019,SAS
11,2019,MIA
12,2019,NOP
0,2019,GSW
1,2019,MIL
2,2019,OKC
3,2019,PHI
4,2019,CHO
5,2019,MIL
6,2019,DET
7,2019,OKC
8,2019,DEN
9,2019,TOR
10,2019,BRK
11,2019,ORL
12,2019,DAL
0,2018,CLE
1,2018,GSW
2,2018,OKC
3,2018,BOS
4,2018,NOP
5,2018,OKC
6,2018,DET
7,2018,WAS
8,2018,IND
9,2018,CHO
10,2018,MIA
11,2018,SAS
0,2018,HOU
1,2018,TOR
2,2018,GSW
3,2018,MIL
4,2018,PHI
5,2018,TOR
6,2018,GSW
7,2018,POR
8,2018,GSW
9,2018,MIN
10,2018,BOS
0,2017,NOP
1,2017,HOU
2,2017,GSW
3,2017,GSW
4,2017,SAS
5,2017,MEM
6,2017,OKC
7,2017,GSW
8,2017,UTA
9,2017,GSW
10,2017,LAC
11,2017,SAC
0,2017,TOR
1,2017,MIL
2,2017,CLE
3,2017,CLE
4,2017,CHI
5,2017,IND
6,2017,WAS
7,2017,CHO
8,2017,NYK
9,2017,BOS
10,2017,TOR
11,2017,ATL
0,2016,GSW
1,2016,LAL
2,2016,SAS
3,2016,OKC
4,2016,OKC
5,2016,HOU
6,2016,GSW
7,2016,LAC
8,2016,NOP
9,2016,SAS
10,2016,GSW
11,2016,SAC
0,2016,TOR
1,2016,IND
2,2016,NYK
3,2016,MIA
4,2016,CLE
5,2016,WAS
6,2016,ATL
7,2016,BOS
8,2016,TOR
9,2016,DET
10,2016,CHI
11,2016,ATL
0,2015,HOU
1,2015,GSW
2,2015,MEM
3,2015,GSW
4,2015,POR
5,2015,LAC
6,2015,OKC
7,2015,SAC
8,2015,POR
9,2015,SAS
10,2015,DAL
11,2015,OKC
0,2015,CLE
1,2015,NYK
2,2015,WAS
3,2015,CHI
4,2015,TOR
5,2015,CLE
6,2015,ATL
7,2015,ATL
8,2015,ATL
9,2015,ATL
10,2015,MIA
11,2015,CHI
0,2014,CLE
1,2014,MIA
2,2014,IND
3,2014,NYK
4,2014,MIA
5,2014,CHI
6,2014,WAS
7,2014,TOR
8,2014,ATL
9,2014,IND
10,2014,MIA
11,2014,BRK
0,2014,OKC
1,2014,MIN
2,2014,LAC
3,2014,GSW
4,2014,HOU
5,2014,LAC
6,2014,HOU
7,2014,POR
8,2014,SAS
9,2014,NOP
10,2014,POR
11,2014,DAL
0,2013,OKC
1,2013,LAL
2,2013,LAC
3,2013,LAC
4,2013,LAL
5,2013,HOU
6,2013,SAS
7,2013,OKC
8,2013,GSW
9,2013,MEM
10,2013,POR
11,2013,SAS
0,2013,NYK
1,2013,MIA
2,2013,MIA
3,2013,MIA
4,2013,BOS
5,2013,CLE
6,2013,IND
7,2013,CHI
8,2013,NYK
9,2013,CHI
10,2013,PHI
11,2013,BRK
0,2012,OKC
1,2012,LAL
2,2012,LAC
3,2012,LAC
4,2012,LAL
5,2012,OKC
6,2012,MIN
7,2012,DAL
8,2012,MEM
9,2012,SAS
10,2012,POR
11,2012,PHO
0,2012,MIA
1,2012,MIA
2,2012,ORL
3,2012,NYK
4,2012,CHI
5,2012,MIA
6,2012,NJN
7,2012,BOS
8,2012,PHI
9,2012,BOS
10,2012,IND
11,2012,CHI
0,2011,OKC
1,2011,LAL
2,2011,NOH
3,2011,DEN
4,2011,SAS
5,2011,LAL
6,2011,SAS
7,2011,UTA
8,2011,LAC
9,2011,DAL
10,2011,OKC
11,2011,MIN
0,2011,MIA
1,2011,CHI
2,2011,NYK
3,2011,ORL
4,2011,MIA
5,2011,MIA
6,2011,BOS
7,2011,ATL
8,2011,BOS
9,2011,BOS
10,2011,ATL
11,2011,BOS
0,2010,CLE
1,2010,MIA
2,2010,ORL
3,2010,ATL
4,2010,BOS
5,2010,TOR
6,2010,BOS
7,2010,CHA
8,2010,CHI
9,2010,ATL
10,2010,NYK
11,2010,BOS
0,2010,DEN
1,2010,DAL
2,2010,PHO
3,2010,PHO
4,2010,SAS
5,2010,UTA
6,2010,DEN
7,2010,LAL
8,2010,OKC
9,2010,MEM
10,2010,LAC
11,2010,DAL
0,2009,LAL
1,2009,NOH
2,2009,PHO
3,2009,SAS
4,2009,HOU
5,2009,POR
6,2009,SAS
7,2009,DEN
8,2009,LAL
9,2009,NOH
10,2009,DAL
11,2009,PHO
0,2009,ORL
1,2009,CLE
2,2009,MIA
3,2009,BOS
4,2009,DET
5,2009,ATL
6,2009,ORL
7,2009,BOS
8,2009,BOS
9,2009,NJN
10,2009,CLE
11,2009,IND
0,2008,ORL
1,2008,CLE
2,2008,NJN
3,2008,MIA
4,2008,TOR
5,2008,BOS
6,2008,DET
7,2008,DET
8,2008,DET
9,2008,ATL
10,2008,BOS
11,2008,WAS
0,2008,SAS
1,2008,DEN
2,2008,DEN
3,2008,HOU
4,2008,LAL
5,2008,POR
6,2008,NOH
7,2008,DAL
8,2008,PHO
9,2008,PHO
10,2008,UTA
11,2008,NOH
0,2007,LAL
1,2007,HOU
2,2007,DAL
3,2007,SAS
4,2007,MIN
5,2007,DEN
6,2007,SAS
7,2007,PHO
8,2007,SEA
9,2007,PHO
10,2007,DAL
11,2007,UTA
0,2007,CLE
1,2007,MIA
2,2007,TOR
3,2007,WAS
4,2007,MIA
5,2007,IND
6,2007,ORL
7,2007,ATL
8,2007,DET
9,2007,NJN
10,2007,WAS
11,2007,DET
0,2006,MIA
