,Year,Team,Votes
0,2019,MIL,941.0
1,2019,HOU,776.0
2,2019,OKC,356.0
3,2019,DEN,212.0
4,2019,GSW,175.0
5,2019,POR,69.0
6,2019,PHI,49.0
7,2019,GSW,25.0
8,2019,TOR,13.0
9,2019,OKC,8.0
10,2019,UTA,1.0
11,2019,LAL,1.0
0,2018,HOU,965.0
1,2018,CLE,738.0
2,2018,NOP,445.0
3,2018,POR,207.0
4,2018,OKC,76.0
5,2018,MIL,75.0
6,2018,GSW,66.0
7,2018,TOR,32.0
8,2018,SAS,6.0
9,2018,MIN,5.0
10,2018,GSW,5.0
11,2018,PHI,4.0
12,2018,IND,2.0
0,2017,OKC,888.0
1,2017,HOU,753.0
2,2017,SAS,500.0
3,2017,CLE,333.0
4,2017,BOS,81.0
5,2017,GSW,52.0
6,2017,MIL,7.0
7,2017,WAS,7.0
8,2017,NOP,2.0
9,2017,GSW,2.0
10,2017,TOR,1.0
0,2016,GSW,1310.0
1,2016,SAS,634.0
2,2016,CLE,631.0
3,2016,OKC,486.0
4,2016,OKC,147.0
5,2016,LAC,107.0
6,2016,GSW,50.0
7,2016,POR,26.0
8,2016,HOU,9.0
9,2016,TOR,6.0
0,2015,GSW,1198.0
1,2015,HOU,936.0
2,2015,CLE,552.0
3,2015,OKC,352.0
4,2015,NOP,203.0
5,2015,LAC,124.0
6,2015,POR,6.0
7,2015,MEM,3.0
8,2015,LAC,3.0
9,2015,SAS,1.0
10,2015,SAS,1.0
11,2015,GSW,1.0
0,2014,OKC,1232.0
1,2014,MIA,891.0
2,2014,LAC,434.0
3,2014,CHI,322.0
4,2014,HOU,85.0
5,2014,GSW,66.0
6,2014,LAC,45.0
7,2014,CHA,34.0
8,2014,IND,33.0
9,2014,POR,26.0
10,2014,MIN,25.0
11,2014,SAS,21.0
12,2014,SAS,21.0
13,2014,DAL,7.0
14,2014,NYK,4.0
15,2014,PHO,3.0
16,2014,MEM,1.0
0,2013,MIA,1207.0
1,2013,OKC,765.0
2,2013,NYK,475.0
3,2013,LAC,289.0
4,2013,LAL,184.0
5,2013,SAS,86.0
6,2013,SAS,65.0
7,2013,HOU,33.0
8,2013,OKC,9.0
9,2013,MIA,5.0
10,2013,GSW,3.0
11,2013,BOS,1.0
12,2013,MEM,1.0
13,2013,DEN,1.0
14,2013,GSW,1.0
15,2013,CHI,1.0
0,2012,MIA,1074.0
1,2012,OKC,889.0
2,2012,LAC,385.0
3,2012,LAL,352.0
4,2012,SAS,331.0
5,2012,MIN,58.0
6,2012,ORL,13.0
7,2012,BOS,12.0
8,2012,PHO,7.0
9,2012,MIA,6.0
10,2012,CHI,5.0
11,2012,DAL,4.0
12,2012,OKC,4.0
13,2012,SAS,3.0
14,2012,ATL,1.0
0,2011,CHI,1182.0
1,2011,ORL,643.0
2,2011,MIA,522.0
3,2011,LAL,428.0
4,2011,OKC,190.0
5,2011,DAL,113.0
6,2011,MIA,24.0
7,2011,SAS,20.0
8,2011,NYK,9.0
9,2011,LAC,5.0
10,2011,BOS,5.0
11,2011,SAS,3.0
12,2011,NOH,2.0
0,2010,CLE,1205.0
1,2010,OKC,609.0
2,2010,LAL,599.0
3,2010,ORL,478.0
4,2010,MIA,119.0
5,2010,DEN,65.0
6,2010,DAL,55.0
7,2010,PHO,49.0
8,2010,UTA,7.0
9,2010,PHO,5.0
10,2010,SAS,3.0
11,2010,DEN,1.0
12,2010,TOR,1.0
13,2010,SAS,1
14,2010,ATL,1.0
0,2009,CLE,1172.0
1,2009,LAL,698.0
2,2009,MIA,680.0
3,2009,ORL,328.0
4,2009,NOH,192.0
5,2009,DEN,33
6,2009,BOS,21.0
7,2009,SAS,9.0
8,2009,POR,7.0
9,2009,DAL,3.0
10,2009,SAS,2.0
11,2009,HOU,1.0
0,2008,LAL,1100.0
1,2008,NOH,894.0
2,2008,BOS,670.0
3,2008,CLE,438.0
4,2008,ORL,60.0
5,2008,PHO,27.0
6,2008,SAS,25.0
7,2008,HOU,19.0
8,2008,PHO,18.0
9,2008,SAS,9.0
10,2008,DAL,5.0
11,2008,UTA,4.0
12,2008,DEN,3.0
13,2008,UTA,1.0
14,2008,WAS,1.0
15,2008,BOS,1.0
16,2008,DET,1.0
0,2007,DAL,1138.0
1,2007,PHO,1013.0
2,2007,LAL,521.0
3,2007,SAS,286.0
4,2007,CLE,183.0
5,2007,HOU,110.0
6,2007,TOR,43.0
7,2007,WAS,31.0
8,2007,UTA,7.0
9,2007,MIN,7.0
10,2007,DET,4.0
11,2007,MIA,3.0
12,2007,MIA,3.0
13,2007,PHO,2.0
14,2007,DEN,1.0
15,2007,GSW,1.0
16,2007,SAS,1.0
0,2006,PHO,924.0
1,2006,CLE,688.0
2,2006,DAL,544.0
3,2006,LAL,483.0
4,2006,DET,430.0
5,2006,MIA,87.0
6,2006,LAC,50.0
7,2006,SAS,33.0
8,2006,SAS,9.0
9,2006,PHI,1.0
10,2006,PHO,1.0
0,2005,PHO,1066.0
1,2005,MIA,1032.0
2,2005,DAL,349.0
3,2005,SAS,328.0
4,2005,PHI,240.0
5,2005,CLE,93.0
6,2005,HOU,44.0
7,2005,MIA,43.0
8,2005,PHO,41.0
9,2005,SEA,41.0
10,2005,MIN,15.0
11,2005,WAS,4.0
12,2005,NJN,3
13,2005,NOH,1.0
14,2005,DEN,1.0
15,2005,PHO,1.0
0,2004,MIN,1219.0
1,2004,SAS,716.0
2,2004,IND,523.0
3,2004,SAC,281.0
4,2004,LAL,212.0
5,2004,LAL,178.0
6,2004,DET,24.0
7,2004,NJN,17.0
8,2004,CLE,11.0
9,2004,MIN,4.0
