,Year,Team,Games,Minutes,FG,FGA,FGA_pct,FG3,FG3A,FG3_pct,FG2,FG2A,FG2_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,EFG_pct,FTR,AST_pct,Mix3,Games_opp,Minutes_opp,FG_opp,FGA_opp,FGA_pct_opp,FG3_opp,FG3A_opp,FG3_pct_opp,FG2_opp,FG2A_opp,FG2_pct_opp,FT_opp,FTA_opp,FT_pct_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp,EFG_pct_opp,FTR_opp,AST_pct_opp,Mix3_opp,Net_Rtg,ORB_pct,ORB_pct_opp
0,2019,Milwaukee Bucks,82,19780,41.8,87.8,.476,13.0,36.8,.353,28.8,50.9,.565,17.3,22.4,.773,9.0,39.0,47.9,25.1,7.2,5.7,13.4,18.9,113.8,0.5501138952164009,0.19703872437357633,0.6004784688995216,0.41913439635535304,82,19780,39.0,90.1,.433,12.6,35.0,.361,26.4,35.0,.479,14.6,19.9,.733,9.6,34.1,43.6,23.9,6.5,4.6,12.9,19.4,105.2,0.5027746947835738,0.16204217536071033,0.6128205128205128,0.388457269700333,8.599999999999994,0.2088167053364269,0.19753086419753085
1,2019,Golden State Warriors,82,19805,43.4,88.4,.491,13.1,33.9,.385,30.3,54.5,.557,16.1,20.1,.801,9.6,35.9,45.5,29.0,7.5,6.3,14.0,21.1,115.9,0.5650452488687783,0.18212669683257918,0.6682027649769585,0.38348416289592757,82,19805,39.8,89.7,.444,11.5,33.1,.347,28.3,33.1,.500,18.4,23.9,.773,10.6,33.0,43.7,23.9,7.6,3.5,13.3,19.2,109.5,0.507803790412486,0.2051282051282051,0.6005025125628141,0.3690078037904125,6.400000000000006,0.22535211267605632,0.2279569892473118
2,2019,New Orleans Pelicans,82,19755,42.1,89.0,.473,9.9,28.8,.344,32.2,60.2,.536,17.2,22.6,.761,10.7,34.9,45.6,26.1,7.2,5.2,14.3,20.4,111.4,0.5286516853932585,0.19325842696629214,0.6199524940617578,0.32359550561797756,82,19755,41.7,89.5,.466,11.8,32.5,.364,29.9,32.5,.525,17.3,22.7,.764,10.6,33.6,44.1,25.6,8.3,5.2,13.1,20.3,112.6,0.5318435754189944,0.19329608938547488,0.6139088729016786,0.36312849162011174,-1.1999999999999886,0.24153498871331827,0.23296703296703297
3,2019,Philadelphia 76ers,82,19805,40.6,86.2,.471,10.6,29.5,.359,30.0,56.7,.529,20.8,26.9,.771,10.6,36.1,46.7,26.3,7.2,5.2,14.6,20.8,112.6,0.5324825986078886,0.24129930394431554,0.6477832512315271,0.3422273781902552,82,19805,40.8,89.5,.455,10.1,29.4,.342,30.7,29.4,.511,18.4,24.0,.768,9.8,32.7,42.5,22.9,7.6,4.0,12.5,21.7,110.0,0.512290502793296,0.20558659217877093,0.5612745098039216,0.32849162011173183,2.5999999999999943,0.24480369515011544,0.21350762527233114
4,2019,Los Angeles Clippers,82,19830,40.3,85.4,.471,9.8,25.2,.388,30.5,60.2,.507,22.1,27.8,.792,9.5,34.9,44.4,23.4,6.7,4.6,14.2,22.8,112.4,0.5292740046838408,0.25878220140515223,0.5806451612903226,0.29508196721311475,82,19830,40.7,89.1,.457,10.1,29.5,.343,30.6,29.5,.513,20.0,25.7,.777,11.0,33.6,44.6,23.5,8.1,5.9,12.9,23.4,111.5,0.5134680134680135,0.2244668911335578,0.5773955773955773,0.3310886644219978,0.9000000000000057,0.22041763341067286,0.23965141612200436
5,2019,Portland Trail Blazers,82,19855,42.3,90.6,.467,11.0,30.7,.359,31.3,59.8,.523,19.0,23.3,.814,11.8,36.2,48.0,23.0,6.7,5.0,13.8,20.4,114.7,0.5275938189845475,0.20971302428256072,0.5437352245862884,0.33885209713024284,82,19855,41.1,90.1,.457,10.7,29.8,.359,30.4,29.8,.505,17.5,22.8,.770,10.3,32.6,42.8,23.2,7.4,5.1,12.4,20.7,110.5,0.5155382907880133,0.1942286348501665,0.5644768856447688,0.3307436182019978,4.200000000000003,0.26576576576576577,0.22150537634408604
6,2019,Oklahoma City Thunder,82,19855,41.1,90.6,.454,11.0,31.5,.348,30.1,59.1,.510,17.2,24.1,.713,12.1,34.2,46.3,22.5,9.0,5.0,13.5,21.6,110.3,0.5143487858719648,0.18984547461368653,0.5474452554744526,0.347682119205298,82,19855,39.3,85.5,.460,10.8,30.5,.356,28.5,30.5,.517,17.6,23.2,.761,9.5,34.5,44.0,24.0,7.9,4.9,16.1,21.7,107.0,0.5228070175438597,0.20584795321637428,0.6106870229007634,0.3567251461988304,3.299999999999997,0.259656652360515,0.21739130434782608
7,2019,Toronto Raptors,82,19880,41.7,88.1,.474,12.2,33.4,.366,29.5,54.7,.539,17.5,21.7,.804,9.5,35.2,44.7,25.1,8.2,5.3,13.9,20.8,113.1,0.5425652667423383,0.1986379114642452,0.6019184652278178,0.37911464245175935,82,19880,39.8,88.6,.449,10.6,30.8,.345,29.2,30.8,.505,16.9,22.0,.765,10.5,33.8,44.3,24.3,7.5,4.4,14.8,20.3,107.1,0.5090293453724605,0.19074492099322798,0.6105527638190955,0.34762979683972917,6.0,0.21939953810623558,0.2297592997811816
8,2019,Sacramento Kings,82,19730,41.8,90.1,.464,10.9,29.0,.378,30.8,61.1,.504,16.0,22.0,.726,10.7,33.2,43.9,24.6,8.0,4.3,12.9,20.7,110.4,0.52330743618202,0.17758046614872366,0.5885167464114833,0.3218645948945616,82,19730,40.9,87.6,.466,11.6,33.5,.348,29.2,33.5,.540,18.2,23.6,.770,10.8,35.6,46.4,23.9,7.3,5.0,15.4,20.7,111.5,0.5319634703196346,0.2077625570776256,0.5843520782396088,0.38242009132420096,-1.0999999999999943,0.23110151187904968,0.24545454545454548
9,2019,Washington Wizards,82,19930,41.1,87.8,.468,11.0,32.4,.341,30.0,55.3,.543,17.9,23.3,.768,9.4,31.8,41.3,25.6,8.1,4.5,13.7,20.2,111.1,0.5296127562642369,0.20387243735763097,0.6228710462287105,0.3690205011389522,82,19930,42.3,88.2,.480,11.8,31.9,.370,30.5,31.9,.542,17.5,22.5,.778,11.1,34.9,46.0,25.6,7.5,4.5,15.3,20.7,113.9,0.546485260770975,0.1984126984126984,0.6052009456264776,0.36167800453514737,-2.8000000000000114,0.2121896162528217,0.25874125874125875
